source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	Material Type	characteristics[disease]	Technology type	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[file uri]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[cell line]
PXD003668-Sample-1	Homo sapiens	not available	DOV13	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 1	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	DOV13
PXD003668-Sample-2	Homo sapiens	not available	DOV13	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 2	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	DOV13
PXD003668-Sample-3	Homo sapiens	not available	DOV13	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 3	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	DOV13
PXD003668-Sample-4	Homo sapiens	not available	OVCA433	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 4	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20140115_EXQ6_FaCo_SA_CL_OVCA433_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20140115_EXQ6_FaCo_SA_CL_OVCA433_A.RAW	OVCA433
PXD003668-Sample-5	Homo sapiens	not available	OVCA433	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 5	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVCA433_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130314_EXQ4_FaCo_SA_CL_OVCA433_B.RAW	OVCA433
PXD003668-Sample-6	Homo sapiens	not available	OVCA433	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 6	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131222_EXQ2_FaCo_SA_CL_OVCA433_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131222_EXQ2_FaCo_SA_CL_OVCA433_C.RAW	OVCA433
PXD003668-Sample-7	Homo sapiens	not available	OVISE	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 7	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130314_EXQ4_FaCo_SA_CL_OVISE_A.RAW	OVISE
PXD003668-Sample-8	Homo sapiens	not available	OVISE	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 8	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130314_EXQ4_FaCo_SA_CL_OVISE_B.RAW	OVISE
PXD003668-Sample-9	Homo sapiens	not available	OVISE	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 9	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130314_EXQ4_FaCo_SA_CL_OVISE_C.RAW	OVISE
PXD003668-Sample-10	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 10	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7675_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130315_EXQ4_FaCo_SA_CL_IOSE7675_A.RAW	IOSE7576
