source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
MSV000087095-Sample-1	Homo sapiens	heart	heart apex	whole tissue	not available	not available	not available	normal	not available	1	proteomic profiling by mass spectrometry	ms run 1	1	993_Mercury_20201214_120_131_7735_14051Apex_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7735_14051Apex_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-2	Homo sapiens	heart	heart apex	whole tissue	not available	not available	not available	normal	not available	2	proteomic profiling by mass spectrometry	ms run 2	1	993_Mercury_20201214_120_131_7735_14051Apex_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7735_14051Apex_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-3	Homo sapiens	heart	heart apex	whole tissue	not available	not available	not available	normal	not available	3	proteomic profiling by mass spectrometry	ms run 3	1	993_Mercury_20201214_120_131_7735_14051Apex_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7735_14051Apex_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-4	Homo sapiens	heart	heart apex	whole tissue	not available	not available	not available	normal	not available	4	proteomic profiling by mass spectrometry	ms run 4	1	993_Mercury_20201214_120_131_7735_14083Apex_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7735_14083Apex_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-5	Homo sapiens	heart	heart apex	whole tissue	not available	not available	not available	normal	not available	5	proteomic profiling by mass spectrometry	ms run 5	1	993_Mercury_20201214_120_131_7735_14083Apex_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7735_14083Apex_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-6	Homo sapiens	heart	heart apex	whole tissue	not available	not available	not available	normal	not available	6	proteomic profiling by mass spectrometry	ms run 6	1	993_Mercury_20201214_120_131_7735_14083Apex_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7735_14083Apex_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-7	Homo sapiens	heart	heart apex	whole tissue	not available	not available	not available	normal	not available	7	proteomic profiling by mass spectrometry	ms run 7	1	993_Mercury_20201214_120_131_7735_14208Apex_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7735_14208Apex_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-8	Homo sapiens	heart	heart apex	whole tissue	not available	not available	not available	normal	not available	8	proteomic profiling by mass spectrometry	ms run 8	1	993_Mercury_20201214_120_131_7735_14208Apex_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7735_14208Apex_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-9	Homo sapiens	heart	heart apex	whole tissue	not available	not available	not available	normal	not available	9	proteomic profiling by mass spectrometry	ms run 9	1	993_Mercury_20201214_120_131_7735_14208Apex_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7735_14208Apex_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-10	Homo sapiens	heart	left ventricle	whole tissue	not available	not available	not available	normal	not available	10	proteomic profiling by mass spectrometry	ms run 10	1	993_Mercury_20201214_120_131_7742_14083LV_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7742_14083LV_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
