source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[phenotype]	characteristics[individual]	characteristics[biological replicate]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	Material Type	assay name	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[Label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	factor value[organism part]
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	1	not available	not available	not available	organism part	run 1620	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_A01_P010738_S00_N01_R1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01086_A01_P010738_S00_N01_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	1	not available	not available	not available	organism part	run 1615	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_B01_P010738_S00_N02_R1.raw	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01086_B01_P010738_S00_N02_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	1	not available	not available	not available	organism part	run 1610	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_C01_P010738_S00_N03_R1.raw	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01086_C01_P010738_S00_N03_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	1	not available	not available	not available	organism part	run 1605	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_D01_P010738_S00_N04_R1.raw	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01086_D01_P010738_S00_N04_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	1	not available	not available	not available	organism part	run 1600	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_E01_P010738_S00_N05_R1.raw	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01086_E01_P010738_S00_N05_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	1	not available	not available	not available	organism part	run 1596	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_F01_P010738_S00_N06_R1.raw	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01086_F01_P010738_S00_N06_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	1	not available	not available	not available	organism part	run 1592	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_G01_P010738_S00_N07_R1.raw	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01086_G01_P010738_S00_N07_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	1	not available	not available	not available	organism part	run 1588	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_H01_P010738_S00_N08_R1.raw	1	8	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01086_H01_P010738_S00_N08_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	1	not available	not available	not available	organism part	run 1619	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_A02_P010738_S00_N09_R1.raw	1	9	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01086_A02_P010738_S00_N09_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	1	not available	not available	not available	organism part	run 1614	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_B02_P010738_S00_N10_R1.raw	1	10	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01086_B02_P010738_S00_N10_R1.raw	liver
