source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[phenotype]	characteristics[individual]	characteristics[biological replicate]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	Material Type	assay name	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[Label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	factor value[organism part]
PXD010154-V229	homo sapiens	pancreas	not available	59	Female	normal	V229	1	not available	not available	not available	organism part	run 541	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01347_A01_P013678_S00_N01_R2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01347_A01_P013678_S00_N01_R2.raw	pancreas
PXD010154-V229	homo sapiens	pancreas	not available	59	Female	normal	V229	1	not available	not available	not available	organism part	run 535	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01347_B01_P013678_S00_N02_R2.raw	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01347_B01_P013678_S00_N02_R2.raw	pancreas
PXD010154-V229	homo sapiens	pancreas	not available	59	Female	normal	V229	1	not available	not available	not available	organism part	run 530	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01347_C01_P013678_S00_N03_R2.raw	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01347_C01_P013678_S00_N03_R2.raw	pancreas
PXD010154-V229	homo sapiens	pancreas	not available	59	Female	normal	V229	1	not available	not available	not available	organism part	run 525	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01347_D01_P013678_S00_N04_R2.raw	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01347_D01_P013678_S00_N04_R2.raw	pancreas
PXD010154-V229	homo sapiens	pancreas	not available	59	Female	normal	V229	1	not available	not available	not available	organism part	run 520	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01347_E01_P013678_S00_N05_R2.raw	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01347_E01_P013678_S00_N05_R2.raw	pancreas
PXD010154-V229	homo sapiens	pancreas	not available	59	Female	normal	V229	1	not available	not available	not available	organism part	run 516	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01347_F01_P013678_S00_N06_R2.raw	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01347_F01_P013678_S00_N06_R2.raw	pancreas
PXD010154-V229	homo sapiens	pancreas	not available	59	Female	normal	V229	1	not available	not available	not available	organism part	run 512	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01347_G01_P013678_S00_N07_R2.raw	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01347_G01_P013678_S00_N07_R2.raw	pancreas
PXD010154-V229	homo sapiens	pancreas	not available	59	Female	normal	V229	1	not available	not available	not available	organism part	run 508	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01347_H01_P013678_S00_N08_R2.raw	1	8	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01347_H01_P013678_S00_N08_R2.raw	pancreas
PXD010154-V229	homo sapiens	pancreas	not available	59	Female	normal	V229	1	not available	not available	not available	organism part	run 540	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01347_A02_P013678_S00_N09_R2.raw	1	9	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01347_A02_P013678_S00_N09_R2.raw	pancreas
PXD010154-V229	homo sapiens	pancreas	not available	59	Female	normal	V229	1	not available	not available	not available	organism part	run 534	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01347_B02_P013678_S00_N10_R2.raw	1	10	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	40 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	01347_B02_P013678_S00_N10_R2.raw	pancreas
