source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	comment[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	value[organism part]
PXD037340-Sample-1	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220509_EXPL2_Evo7_OOE_DDA11min_PAC-M_pool_0500uL_a_003	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20220509_EXPL2_Evo7_OOE_DDA11min_PAC-M_pool_0500uL_a_003.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220509_EXPL2_Evo7_OOE_DDA11min_PAC-M_pool_0500uL_a_003.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	protein-aggregation capture (PAC)	AC=MS:1003094 ; NT=Orbitrap Exploris		not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	not available	not available	blood plasma
PXD037340-Sample-1	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220509_EXPL2_Evo7_OOE_DDA11min_PAC-M_pool_0500uL_b_014	NT=Data-Dependent Acquisition;AC=PRIDE:0000628	20220509_EXPL2_Evo7_OOE_DDA11min_PAC-M_pool_0500uL_b_014.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220509_EXPL2_Evo7_OOE_DDA11min_PAC-M_pool_0500uL_b_014.raw	1	not applicable	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	protein-aggregation capture (PAC)	AC=MS:1003094 ; NT=Orbitrap Exploris		not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	not available	not available	blood plasma
PXD037340-Sample-1	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220509_EXPL2_Evo7_OOE_DDA11min_PAC-M_pool_0500uL_c_025	NT=Data-Dependent Acquisition;AC=PRIDE:0000629	20220509_EXPL2_Evo7_OOE_DDA11min_PAC-M_pool_0500uL_c_025.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220509_EXPL2_Evo7_OOE_DDA11min_PAC-M_pool_0500uL_c_025.raw	1	not applicable	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	protein-aggregation capture (PAC)	AC=MS:1003094 ; NT=Orbitrap Exploris		not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	not available	not available	blood plasma
PXD037340-Sample-2	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220509_EXPL2_Evo7_OOE_DDA21min_PAC-M_pool_0500uL_a_005	NT=Data-Dependent Acquisition;AC=PRIDE:0000630	20220509_EXPL2_Evo7_OOE_DDA21min_PAC-M_pool_0500uL_a_005.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220509_EXPL2_Evo7_OOE_DDA21min_PAC-M_pool_0500uL_a_005.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	protein-aggregation capture (PAC)	AC=MS:1003094 ; NT=Orbitrap Exploris		not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	not available	not available	blood plasma
PXD037340-Sample-2	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220509_EXPL2_Evo7_OOE_DDA21min_PAC-M_pool_0500uL_b_016	NT=Data-Dependent Acquisition;AC=PRIDE:0000631	20220509_EXPL2_Evo7_OOE_DDA21min_PAC-M_pool_0500uL_b_016.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220509_EXPL2_Evo7_OOE_DDA21min_PAC-M_pool_0500uL_b_016.raw	1	not applicable	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	protein-aggregation capture (PAC)	AC=MS:1003094 ; NT=Orbitrap Exploris		not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	not available	not available	blood plasma
PXD037340-Sample-2	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220509_EXPL2_Evo7_OOE_DDA21min_PAC-M_pool_0500uL_c_027	NT=Data-Dependent Acquisition;AC=PRIDE:0000632	20220509_EXPL2_Evo7_OOE_DDA21min_PAC-M_pool_0500uL_c_027.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220509_EXPL2_Evo7_OOE_DDA21min_PAC-M_pool_0500uL_c_027.raw	1	not applicable	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	protein-aggregation capture (PAC)	AC=MS:1003094 ; NT=Orbitrap Exploris		not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	not available	not available	blood plasma
PXD037340-Sample-3	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220509_EXPL2_Evo7_OOE_DDA42min_PAC-M_pool_0500uL_a_007	NT=Data-Dependent Acquisition;AC=PRIDE:0000633	20220509_EXPL2_Evo7_OOE_DDA42min_PAC-M_pool_0500uL_a_007.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220509_EXPL2_Evo7_OOE_DDA42min_PAC-M_pool_0500uL_a_007.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	protein-aggregation capture (PAC)	AC=MS:1003094 ; NT=Orbitrap Exploris		not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	not available	not available	blood plasma
PXD037340-Sample-3	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220509_EXPL2_Evo7_OOE_DDA42min_PAC-M_pool_0500uL_b_018	NT=Data-Dependent Acquisition;AC=PRIDE:0000634	20220509_EXPL2_Evo7_OOE_DDA42min_PAC-M_pool_0500uL_b_018.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220509_EXPL2_Evo7_OOE_DDA42min_PAC-M_pool_0500uL_b_018.raw	1	not applicable	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	protein-aggregation capture (PAC)	AC=MS:1003094 ; NT=Orbitrap Exploris		not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	not available	not available	blood plasma
PXD037340-Sample-3	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220509_EXPL2_Evo7_OOE_DDA42min_PAC-M_pool_0500uL_c_029	NT=Data-Dependent Acquisition;AC=PRIDE:0000635	20220509_EXPL2_Evo7_OOE_DDA42min_PAC-M_pool_0500uL_c_029.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220509_EXPL2_Evo7_OOE_DDA42min_PAC-M_pool_0500uL_c_029.raw	1	not applicable	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	protein-aggregation capture (PAC)	AC=MS:1003094 ; NT=Orbitrap Exploris		not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	not available	not available	blood plasma
PXD037340-Sample-4	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	Normal	non depleted	1	not applicable	20220518_EXPL2_Evo5_OOE_DDA11min_PAC-R_pool_20uL_a_029	NT=Data-Dependent Acquisition;AC=PRIDE:0000636	20220518_EXPL2_Evo5_OOE_DDA11min_PAC-R_pool_20uL_a_029.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220518_EXPL2_Evo5_OOE_DDA11min_PAC-R_pool_20uL_a_029.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	protein-aggregation capture (PAC)	AC=MS:1003094 ; NT=Orbitrap Exploris		not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	not available	not available	blood plasma
