source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD022011-Sample-1	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 1	proteomic profiling by mass spectrometry	qExHF01_09184.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09184.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-2	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 2	proteomic profiling by mass spectrometry	qExHF01_09185.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09185.raw	2	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-3	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 3	proteomic profiling by mass spectrometry	qExHF01_09186.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09186.raw	3	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-4	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 4	proteomic profiling by mass spectrometry	qExHF01_09187.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09187.raw	4	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-5	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 5	proteomic profiling by mass spectrometry	qExHF01_09188.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09188.raw	5	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-6	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 6	proteomic profiling by mass spectrometry	qExHF01_09189.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09189.raw	6	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-7	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 7	proteomic profiling by mass spectrometry	qExHF01_09190.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09190.raw	7	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-8	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 8	proteomic profiling by mass spectrometry	qExHF01_09191.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09191.raw	8	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-9	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 9	proteomic profiling by mass spectrometry	qExHF01_09192.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09192.raw	9	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-10	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 10	proteomic profiling by mass spectrometry	qExHF01_09193.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09193.raw	10	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
