source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell subclass]	characteristics[activation encounter]	characteristics[activation state]	characteristics[individual]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[fractionation method]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[MS2 mass analyzer]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD004352-Sample-1	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta thymocyte"	not applicable	not applicable	1	1	not available	not available	not available	not available	normal	no depletion	not applicable	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_Act_01.raw	proteomic profiling by mass spectrometry	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_Act_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20131115_EXQ2_JaRi_SA_Do132_Memory_Free_Act_01.raw	1	1	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	AC=MS:1002523;NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	26 NCE	7 ppm	20 ppm	"CD4-positive, alpha-beta thymocyte"
PXD004352-Sample-2	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta thymocyte"	not applicable	not applicable	2	2	not available	not available	not available	not available	normal	no depletion	not applicable	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_Act_02.raw	proteomic profiling by mass spectrometry	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_Act_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20131115_EXQ2_JaRi_SA_Do132_Memory_Free_Act_02.raw	1	1	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	AC=MS:1002523;NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	26 NCE	7 ppm	20 ppm	"CD4-positive, alpha-beta thymocyte"
PXD004352-Sample-3	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta thymocyte"	not applicable	not applicable	3	3	not available	not available	not available	not available	normal	no depletion	not applicable	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_Act_03.raw	proteomic profiling by mass spectrometry	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_Act_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20131115_EXQ2_JaRi_SA_Do132_Memory_Free_Act_03.raw	1	1	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	AC=MS:1002523;NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	26 NCE	7 ppm	20 ppm	"CD4-positive, alpha-beta thymocyte"
PXD004352-Sample-4	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	immature T cell	not applicable	not applicable	1	1	not available	not available	not available	not available	normal	no depletion	not applicable	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_CTL_01.raw	proteomic profiling by mass spectrometry	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_CTL_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20131115_EXQ2_JaRi_SA_Do132_Memory_Free_CTL_01.raw	1	1	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	AC=MS:1002523;NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	26 NCE	7 ppm	20 ppm	immature T cell
PXD004352-Sample-5	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	immature T cell	not applicable	not applicable	2	2	not available	not available	not available	not available	normal	no depletion	not applicable	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_CTL_02.raw	proteomic profiling by mass spectrometry	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_CTL_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20131115_EXQ2_JaRi_SA_Do132_Memory_Free_CTL_02.raw	1	1	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	AC=MS:1002523;NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	26 NCE	7 ppm	20 ppm	immature T cell
PXD004352-Sample-6	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	immature T cell	not applicable	not applicable	3	3	not available	not available	not available	not available	normal	no depletion	not applicable	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_CTL_03.raw	proteomic profiling by mass spectrometry	20131115_EXQ2_JaRi_SA_Do132_Memory_Free_CTL_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20131115_EXQ2_JaRi_SA_Do132_Memory_Free_CTL_03.raw	1	1	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	AC=MS:1002523;NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	26 NCE	7 ppm	20 ppm	immature T cell
PXD004352-Sample-7	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta thymocyte"	not applicable	not applicable	1	1	not available	not available	not available	not available	normal	no depletion	not applicable	20131115_EXQ2_JaRi_SA_Do133_Memory_Free_Act_01.raw	proteomic profiling by mass spectrometry	20131115_EXQ2_JaRi_SA_Do133_Memory_Free_Act_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20131115_EXQ2_JaRi_SA_Do133_Memory_Free_Act_01.raw	1	2	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	AC=MS:1002523;NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	26 NCE	7 ppm	20 ppm	"CD4-positive, alpha-beta thymocyte"
PXD004352-Sample-8	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta thymocyte"	not applicable	not applicable	2	2	not available	not available	not available	not available	normal	no depletion	not applicable	20131115_EXQ2_JaRi_SA_Do133_Memory_Free_Act_02.raw	proteomic profiling by mass spectrometry	20131115_EXQ2_JaRi_SA_Do133_Memory_Free_Act_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20131115_EXQ2_JaRi_SA_Do133_Memory_Free_Act_02.raw	1	2	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	AC=MS:1002523;NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	26 NCE	7 ppm	20 ppm	"CD4-positive, alpha-beta thymocyte"
PXD004352-Sample-9	Homo sapiens	blood	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta thymocyte"	not applicable	not applicable	3	3	not available	not available	not available	not available	normal	no depletion	not applicable	20131115_EXQ2_JaRi_SA_Do133_Memory_Free_Act_03.raw	proteomic profiling by mass spectrometry	20131115_EXQ2_JaRi_SA_Do133_Memory_Free_Act_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20131115_EXQ2_JaRi_SA_Do133_Memory_Free_Act_03.raw	1	2	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	AC=MS:1002523;NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	26 NCE	7 ppm	20 ppm	"CD4-positive, alpha-beta thymocyte"
PXD004352-Sample-10	Homo sapiens	blood	"CD8-positive, alpha-beta T cell"	immature T cell	not applicable	not applicable	1	1	not available	not available	not available	not available	normal	no depletion	not applicable	20131115_EXQ2_JaRi_SA_Do133_Memory_Free_CTL_01.raw	proteomic profiling by mass spectrometry	20131115_EXQ2_JaRi_SA_Do133_Memory_Free_CTL_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20131115_EXQ2_JaRi_SA_Do133_Memory_Free_CTL_01.raw	1	2	not applicable	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	AC=MS:1002523;NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	26 NCE	7 ppm	20 ppm	immature T cell
