source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	comment[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD002854-Sample-1	Homo Sapiens	Blood	not available	Plasma	not available	not available	male	not available	normal	not available	1	msrun 1	proteomic profiling by mass spectrometer	20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002854/20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F1	1	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	30 ppm	0.05 Da	Blood Plasma
PXD002854-Sample-1	Homo Sapiens	Blood	not available	Plasma	not available	not available	male	not available	normal	not available	1	msrun 2	proteomic profiling by mass spectrometer	20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002854/20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F2	2	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	30 ppm	0.05 Da	Blood Plasma
PXD002854-Sample-1	Homo Sapiens	Blood	not available	Plasma	not available	not available	male	not available	normal	not available	1	msrun 3	proteomic profiling by mass spectrometer	20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002854/20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F3	3	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	30 ppm	0.05 Da	Blood Plasma
PXD002854-Sample-1	Homo Sapiens	Blood	not available	Plasma	not available	not available	male	not available	normal	not available	1	msrun 4	proteomic profiling by mass spectrometer	20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002854/20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F4	4	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	30 ppm	0.05 Da	Blood Plasma
PXD002854-Sample-1	Homo Sapiens	Blood	not available	Plasma	not available	not available	male	not available	normal	not available	1	msrun 5	proteomic profiling by mass spectrometer	20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002854/20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F5	5	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	30 ppm	0.05 Da	Blood Plasma
PXD002854-Sample-1	Homo Sapiens	Blood	not available	Plasma	not available	not available	male	not available	normal	not available	1	msrun 6	proteomic profiling by mass spectrometer	20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F6	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002854/20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F6	6	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	30 ppm	0.05 Da	Blood Plasma
PXD002854-Sample-1	Homo Sapiens	Blood	not available	Plasma	not available	not available	male	not available	normal	not available	1	msrun 7	proteomic profiling by mass spectrometer	20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F7	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002854/20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F7	7	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	30 ppm	0.05 Da	Blood Plasma
PXD002854-Sample-1	Homo Sapiens	Blood	not available	Plasma	not available	not available	male	not available	normal	not available	1	msrun 8	proteomic profiling by mass spectrometer	20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F8	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002854/20141029_QEp1_LC7_NiKu_SA_Plasma_male1_F8	8	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	30 ppm	0.05 Da	Blood Plasma
PXD002854-Sample-2	Homo Sapiens	Blood	not available	Plasma	not available	not available	not available	not available	normal	not available	2	msrun 9	proteomic profiling by mass spectrometer	20150227_QEp1_LC7_GaPi_SA_PlasmaDepleted_bRP100_1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002854/20150227_QEp1_LC7_GaPi_SA_PlasmaDepleted_bRP100_1	1	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	30 ppm	0.05 Da	Blood Plasma
PXD002854-Sample-2	Homo Sapiens	Blood	not available	Plasma	not available	not available	not available	not available	normal	not available	2	msrun 10	proteomic profiling by mass spectrometer	20150227_QEp1_LC7_GaPi_SA_PlasmaDepleted_bRP100_2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002854/20150227_QEp1_LC7_GaPi_SA_PlasmaDepleted_bRP100_2	2	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	30 ppm	0.05 Da	Blood Plasma
