source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	comment[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	value[organism part]
PXD002854-Sample-SerumvsPlasma-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	Healthy	depletion	1	no applicable	20140707_QEp1_LC5_PhGe_SA_4_19_e1_20min	proteomic profiling by mass spectrometry	20140707_QEp1_LC5_PhGe_SA_4_19_e1_20min.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140707_QEp1_LC5_PhGe_SA_4_19_e1_20min.raw	1	not available	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood plasma
PXD002854-Sample-SerumvsPlasma-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	Healthy	depletion	1	no applicable	20140707_QEp1_LC5_PhGe_SA_4_19_e2_20min	proteomic profiling by mass spectrometry	20140707_QEp1_LC5_PhGe_SA_4_19_e2_20min.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140707_QEp1_LC5_PhGe_SA_4_19_e2_20min.raw	1	not available	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood plasma
PXD002854-Sample-SerumvsPlasma-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	Healthy	depletion	1	no applicable	20140707_QEp1_LC5_PhGe_SA_4_19_e3_20min	proteomic profiling by mass spectrometry	20140707_QEp1_LC5_PhGe_SA_4_19_e3_20min.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140707_QEp1_LC5_PhGe_SA_4_19_e3_20min.raw	1	not available	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood plasma
PXD002854-Sample-SerumvsPlasma-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	Healthy	depletion	1	no applicable	20140707_QEp1_LC5_PhGe_SA_4_19_f1_20min	proteomic profiling by mass spectrometry	20140707_QEp1_LC5_PhGe_SA_4_19_f1_20min.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140707_QEp1_LC5_PhGe_SA_4_19_f1_20min.raw	1	not available	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood plasma
PXD002854-Sample-SerumvsPlasma-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	Healthy	depletion	1	no applicable	20140707_QEp1_LC5_PhGe_SA_4_19_f2_20min	proteomic profiling by mass spectrometry	20140707_QEp1_LC5_PhGe_SA_4_19_f2_20min.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140707_QEp1_LC5_PhGe_SA_4_19_f2_20min.raw	1	not available	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood plasma
PXD002854-Sample-SerumvsPlasma-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	Healthy	depletion	1	no applicable	20140707_QEp1_LC5_PhGe_SA_4_19_f3_20min	proteomic profiling by mass spectrometry	20140707_QEp1_LC5_PhGe_SA_4_19_f3_20min.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140707_QEp1_LC5_PhGe_SA_4_19_f3_20min.raw	1	not available	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood plasma
PXD002854-Sample-SerumvsPlasma-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	Healthy	depletion	1	no applicable	20140707_QEp1_LC5_PhGe_SA_4_19_g1_20min	proteomic profiling by mass spectrometry	20140707_QEp1_LC5_PhGe_SA_4_19_g1_20min.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140707_QEp1_LC5_PhGe_SA_4_19_g1_20min.raw	1	not available	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood plasma
PXD002854-Sample-SerumvsPlasma-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	Healthy	depletion	1	no applicable	20140707_QEp1_LC5_PhGe_SA_4_19_g2_20min	proteomic profiling by mass spectrometry	20140707_QEp1_LC5_PhGe_SA_4_19_g2_20min.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140707_QEp1_LC5_PhGe_SA_4_19_g2_20min.raw	1	not available	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood plasma
PXD002854-Sample-SerumvsPlasma-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	Healthy	depletion	1	no applicable	20140707_QEp1_LC5_PhGe_SA_4_19_g3_20min	proteomic profiling by mass spectrometry	20140707_QEp1_LC5_PhGe_SA_4_19_g3_20min.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140707_QEp1_LC5_PhGe_SA_4_19_g3_20min.raw	1	not available	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood plasma
PXD002854-Sample-SerumvsPlasma-2	Homo sapiens	Blood serum	2	not applicable	not available	not available	not available	not available	Healthy	depletion	1	no applicable	20140707_QEp1_LC5_PhGe_SA_4_19_h1_20min	proteomic profiling by mass spectrometry	20140707_QEp1_LC5_PhGe_SA_4_19_h1_20min.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20140707_QEp1_LC5_PhGe_SA_4_19_h1_20min.raw	1	not available	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood plasma
