source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[nanoparticles]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[nanoparticles]	factor value[spiked compound]
PXD017052-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-007-008	run 1	proteomic profiling by mass spectrometer	EXP19002_X1818_A_MSB39028A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1818_A_MSB39028A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007-008	not applicable
PXD017052-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-007-008	run 2	proteomic profiling by mass spectrometer	EXP19002_X1819_A_MSB39029A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1819_A_MSB39029A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007-008	not applicable
PXD017052-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-007-008	run 3	proteomic profiling by mass spectrometer	EXP19002_X1820_A_MSB39030A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1820_A_MSB39030A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007-008	not applicable
PXD017052-Sample 2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-339-003	run 4	proteomic profiling by mass spectrometer	EXP19002_X1845_A_MSB39055A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1845_A_MSB39055A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339-003	not applicable
PXD017052-Sample 2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-339-003	run 5	proteomic profiling by mass spectrometer	EXP19002_X1846_A_MSB39056A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1846_A_MSB39056A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339-003	not applicable
PXD017052-Sample 2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-339-003	run 6	proteomic profiling by mass spectrometer	EXP19002_X1847_A_MSB39057A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1847_A_MSB39057A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339-003	not applicable
PXD017052-Sample 3	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	plasma	run 7	proteomic profiling by mass spectrometer	EXP19002_X1875_A_MSB39085A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1875_A_MSB39085A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	plasma	not applicable
PXD017052-Sample 3	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	plasma	run 8	proteomic profiling by mass spectrometer	EXP19002_X1876_A_MSB39086A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1876_A_MSB39086A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	plasma	not applicable
PXD017052-Sample 3	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	plasma	run 9	proteomic profiling by mass spectrometer	EXP19002_X1877_A_MSB39087A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1877_A_MSB39087A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	plasma	not applicable
PXD017052-Sample 4	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-373-003	run 10	proteomic profiling by mass spectrometer	EXP19002_X1941_A_MSB39151A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1941_A_MSB39151A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-373-003	not applicable
