source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]	characteristics[quality]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]
PDC000129-Sample-1	human + mouse	not available	not available	not available	not available	not available	Clear Cell Renal Cell Carcinoma	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/25/01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw?Expires=1686115592&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hRf4KiTD7KV6SAJ0V~rsdDdPfZ1gYfwgZu-DHS5KXO2kOqGZqAXFnpxTeLaF65sQpzYLQmKKeoXkd1gXOLhK3NDVZg9UX9pvhNvo7SDCmVgAJ6jkzpzuCLtYL2sNKvUjzTyG3Cmvlz-u04YKLdhMqlpu3oThIJ6mIV58CPy85cPNYgTXG3fz0h5UuVouhqDqzcLTJBtexSx2oZlIKKVssAEjBX~Ct6xlEm~4xdxPcZgQTXNQgDEwqNQ7TAudxTVoSZslT-mHPVilvd7oCrC3IGOw4i6XlLa5A4n0PhCWPzoILChCj1HzFpYrWSn6bYhL8L2esz3Ws0dm2HQR~4YaYA__	1	1	tmt_126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	37% NCE	20 ppm	20 ppm	Clear Cell Renal Cell Carcinoma	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=TMT6plex;MT=Variable;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Variable;TA=S;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000129-Sample-2	human + mouse	not available	not available	not available	not available	not available	Clear Cell Renal Cell Carcinoma	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/25/01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw?Expires=1686115592&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hRf4KiTD7KV6SAJ0V~rsdDdPfZ1gYfwgZu-DHS5KXO2kOqGZqAXFnpxTeLaF65sQpzYLQmKKeoXkd1gXOLhK3NDVZg9UX9pvhNvo7SDCmVgAJ6jkzpzuCLtYL2sNKvUjzTyG3Cmvlz-u04YKLdhMqlpu3oThIJ6mIV58CPy85cPNYgTXG3fz0h5UuVouhqDqzcLTJBtexSx2oZlIKKVssAEjBX~Ct6xlEm~4xdxPcZgQTXNQgDEwqNQ7TAudxTVoSZslT-mHPVilvd7oCrC3IGOw4i6XlLa5A4n0PhCWPzoILChCj1HzFpYrWSn6bYhL8L2esz3Ws0dm2HQR~4YaYA__	1	1	tmt_127n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	37% NCE	20 ppm	20 ppm	Clear Cell Renal Cell Carcinoma	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=TMT6plex;MT=Variable;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Variable;TA=S;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000129-Sample-3	human + mouse	not available	not available	not available	not available	not available	Clear Cell Renal Cell Carcinoma	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/25/01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw?Expires=1686115592&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hRf4KiTD7KV6SAJ0V~rsdDdPfZ1gYfwgZu-DHS5KXO2kOqGZqAXFnpxTeLaF65sQpzYLQmKKeoXkd1gXOLhK3NDVZg9UX9pvhNvo7SDCmVgAJ6jkzpzuCLtYL2sNKvUjzTyG3Cmvlz-u04YKLdhMqlpu3oThIJ6mIV58CPy85cPNYgTXG3fz0h5UuVouhqDqzcLTJBtexSx2oZlIKKVssAEjBX~Ct6xlEm~4xdxPcZgQTXNQgDEwqNQ7TAudxTVoSZslT-mHPVilvd7oCrC3IGOw4i6XlLa5A4n0PhCWPzoILChCj1HzFpYrWSn6bYhL8L2esz3Ws0dm2HQR~4YaYA__	1	1	tmt_127c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	37% NCE	20 ppm	20 ppm	Clear Cell Renal Cell Carcinoma	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=TMT6plex;MT=Variable;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Variable;TA=S;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000129-Sample-4	human + mouse	not available	not available	not available	not available	not available	Clear Cell Renal Cell Carcinoma	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/25/01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw?Expires=1686115592&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hRf4KiTD7KV6SAJ0V~rsdDdPfZ1gYfwgZu-DHS5KXO2kOqGZqAXFnpxTeLaF65sQpzYLQmKKeoXkd1gXOLhK3NDVZg9UX9pvhNvo7SDCmVgAJ6jkzpzuCLtYL2sNKvUjzTyG3Cmvlz-u04YKLdhMqlpu3oThIJ6mIV58CPy85cPNYgTXG3fz0h5UuVouhqDqzcLTJBtexSx2oZlIKKVssAEjBX~Ct6xlEm~4xdxPcZgQTXNQgDEwqNQ7TAudxTVoSZslT-mHPVilvd7oCrC3IGOw4i6XlLa5A4n0PhCWPzoILChCj1HzFpYrWSn6bYhL8L2esz3Ws0dm2HQR~4YaYA__	1	1	tmt_128n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	37% NCE	20 ppm	20 ppm	Clear Cell Renal Cell Carcinoma	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=TMT6plex;MT=Variable;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Variable;TA=S;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000129-Sample-5	human + mouse	not available	not available	not available	not available	not available	Clear Cell Renal Cell Carcinoma	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/25/01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw?Expires=1686115592&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hRf4KiTD7KV6SAJ0V~rsdDdPfZ1gYfwgZu-DHS5KXO2kOqGZqAXFnpxTeLaF65sQpzYLQmKKeoXkd1gXOLhK3NDVZg9UX9pvhNvo7SDCmVgAJ6jkzpzuCLtYL2sNKvUjzTyG3Cmvlz-u04YKLdhMqlpu3oThIJ6mIV58CPy85cPNYgTXG3fz0h5UuVouhqDqzcLTJBtexSx2oZlIKKVssAEjBX~Ct6xlEm~4xdxPcZgQTXNQgDEwqNQ7TAudxTVoSZslT-mHPVilvd7oCrC3IGOw4i6XlLa5A4n0PhCWPzoILChCj1HzFpYrWSn6bYhL8L2esz3Ws0dm2HQR~4YaYA__	1	1	tmt_128c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	37% NCE	20 ppm	20 ppm	Clear Cell Renal Cell Carcinoma	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=TMT6plex;MT=Variable;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Variable;TA=S;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000129-Sample-6	human + mouse	not available	not available	not available	not available	not available	Clear Cell Renal Cell Carcinoma	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/25/01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw?Expires=1686115592&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hRf4KiTD7KV6SAJ0V~rsdDdPfZ1gYfwgZu-DHS5KXO2kOqGZqAXFnpxTeLaF65sQpzYLQmKKeoXkd1gXOLhK3NDVZg9UX9pvhNvo7SDCmVgAJ6jkzpzuCLtYL2sNKvUjzTyG3Cmvlz-u04YKLdhMqlpu3oThIJ6mIV58CPy85cPNYgTXG3fz0h5UuVouhqDqzcLTJBtexSx2oZlIKKVssAEjBX~Ct6xlEm~4xdxPcZgQTXNQgDEwqNQ7TAudxTVoSZslT-mHPVilvd7oCrC3IGOw4i6XlLa5A4n0PhCWPzoILChCj1HzFpYrWSn6bYhL8L2esz3Ws0dm2HQR~4YaYA__	1	1	tmt_129n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	37% NCE	20 ppm	20 ppm	Clear Cell Renal Cell Carcinoma	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=TMT6plex;MT=Variable;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Variable;TA=S;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000129-Sample-7	human + mouse	not available	not available	not available	not available	not available	Clear Cell Renal Cell Carcinoma	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/25/01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw?Expires=1686115592&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hRf4KiTD7KV6SAJ0V~rsdDdPfZ1gYfwgZu-DHS5KXO2kOqGZqAXFnpxTeLaF65sQpzYLQmKKeoXkd1gXOLhK3NDVZg9UX9pvhNvo7SDCmVgAJ6jkzpzuCLtYL2sNKvUjzTyG3Cmvlz-u04YKLdhMqlpu3oThIJ6mIV58CPy85cPNYgTXG3fz0h5UuVouhqDqzcLTJBtexSx2oZlIKKVssAEjBX~Ct6xlEm~4xdxPcZgQTXNQgDEwqNQ7TAudxTVoSZslT-mHPVilvd7oCrC3IGOw4i6XlLa5A4n0PhCWPzoILChCj1HzFpYrWSn6bYhL8L2esz3Ws0dm2HQR~4YaYA__	1	1	tmt_129c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	37% NCE	20 ppm	20 ppm	Clear Cell Renal Cell Carcinoma	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=TMT6plex;MT=Variable;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Variable;TA=S;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000129-Sample-8	human + mouse	not available	not available	not available	not available	not available	Clear Cell Renal Cell Carcinoma	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/25/01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw?Expires=1686115592&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hRf4KiTD7KV6SAJ0V~rsdDdPfZ1gYfwgZu-DHS5KXO2kOqGZqAXFnpxTeLaF65sQpzYLQmKKeoXkd1gXOLhK3NDVZg9UX9pvhNvo7SDCmVgAJ6jkzpzuCLtYL2sNKvUjzTyG3Cmvlz-u04YKLdhMqlpu3oThIJ6mIV58CPy85cPNYgTXG3fz0h5UuVouhqDqzcLTJBtexSx2oZlIKKVssAEjBX~Ct6xlEm~4xdxPcZgQTXNQgDEwqNQ7TAudxTVoSZslT-mHPVilvd7oCrC3IGOw4i6XlLa5A4n0PhCWPzoILChCj1HzFpYrWSn6bYhL8L2esz3Ws0dm2HQR~4YaYA__	1	1	tmt_130n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	37% NCE	20 ppm	20 ppm	Clear Cell Renal Cell Carcinoma	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=TMT6plex;MT=Variable;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Variable;TA=S;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000129-Sample-9	human + mouse	not available	not available	not available	not available	not available	Clear Cell Renal Cell Carcinoma	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/25/01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw?Expires=1686115592&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hRf4KiTD7KV6SAJ0V~rsdDdPfZ1gYfwgZu-DHS5KXO2kOqGZqAXFnpxTeLaF65sQpzYLQmKKeoXkd1gXOLhK3NDVZg9UX9pvhNvo7SDCmVgAJ6jkzpzuCLtYL2sNKvUjzTyG3Cmvlz-u04YKLdhMqlpu3oThIJ6mIV58CPy85cPNYgTXG3fz0h5UuVouhqDqzcLTJBtexSx2oZlIKKVssAEjBX~Ct6xlEm~4xdxPcZgQTXNQgDEwqNQ7TAudxTVoSZslT-mHPVilvd7oCrC3IGOw4i6XlLa5A4n0PhCWPzoILChCj1HzFpYrWSn6bYhL8L2esz3Ws0dm2HQR~4YaYA__	1	1	tmt_130c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	37% NCE	20 ppm	20 ppm	Clear Cell Renal Cell Carcinoma	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=TMT6plex;MT=Variable;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Variable;TA=S;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000129-Sample-10	human + mouse	not available	not available	not available	not available	not available	Clear Cell Renal Cell Carcinoma	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/25/01CPTAC_CompRef_W_JHU_20170929_LUMOS_f01.raw?Expires=1686115592&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=hRf4KiTD7KV6SAJ0V~rsdDdPfZ1gYfwgZu-DHS5KXO2kOqGZqAXFnpxTeLaF65sQpzYLQmKKeoXkd1gXOLhK3NDVZg9UX9pvhNvo7SDCmVgAJ6jkzpzuCLtYL2sNKvUjzTyG3Cmvlz-u04YKLdhMqlpu3oThIJ6mIV58CPy85cPNYgTXG3fz0h5UuVouhqDqzcLTJBtexSx2oZlIKKVssAEjBX~Ct6xlEm~4xdxPcZgQTXNQgDEwqNQ7TAudxTVoSZslT-mHPVilvd7oCrC3IGOw4i6XlLa5A4n0PhCWPzoILChCj1HzFpYrWSn6bYhL8L2esz3Ws0dm2HQR~4YaYA__	1	1	tmt_131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	37% NCE	20 ppm	20 ppm	Clear Cell Renal Cell Carcinoma	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=TMT6plex;MT=Variable;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Variable;TA=S;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
