source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]
PDC000203-Sample-1	human + mouse	not available	not available	not available	not available	not available	Glioblastoma	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/49/01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw?Expires=1685955486&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=FRYPrRQEduXhs23sBORLYiKs1zEbigPsB0DZF4paoodCMvh6SzgHZBsKcvLgy9PEHZ7E07Alj3-Rme-m-KBud6IlpMxZOUgXF1XKGzRELAmrWUFfJKlhE-6--eYcv0uYMpgJRWcvuWXDVTVdGSEzMJjQ8eSom~mu8gSAwtJ94-Mcdv32~OeJymfhz2BEooRjCLbDf39W8wF28HhAzLy55lE-eHv4yoPZkkPmUFOD6ATqaLTw0Zd7ArIm-IuP3r01tYxTAhlj2VFdP54FrRVf93nCt304wQNkJaYCOFcW-Zr9haWDQtHkbo~zpr4vIDEVgXFHSXvmzozASNSvOFrHCQ__	1	1	tmt_126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	Glioblastoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000203-Sample-2	human + mouse	not available	not available	not available	not available	not available	Glioblastoma	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/49/01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw?Expires=1685955486&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=FRYPrRQEduXhs23sBORLYiKs1zEbigPsB0DZF4paoodCMvh6SzgHZBsKcvLgy9PEHZ7E07Alj3-Rme-m-KBud6IlpMxZOUgXF1XKGzRELAmrWUFfJKlhE-6--eYcv0uYMpgJRWcvuWXDVTVdGSEzMJjQ8eSom~mu8gSAwtJ94-Mcdv32~OeJymfhz2BEooRjCLbDf39W8wF28HhAzLy55lE-eHv4yoPZkkPmUFOD6ATqaLTw0Zd7ArIm-IuP3r01tYxTAhlj2VFdP54FrRVf93nCt304wQNkJaYCOFcW-Zr9haWDQtHkbo~zpr4vIDEVgXFHSXvmzozASNSvOFrHCQ__	1	1	tmt_127n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	Glioblastoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000203-Sample-3	human + mouse	not available	not available	not available	not available	not available	Glioblastoma	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/49/01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw?Expires=1685955486&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=FRYPrRQEduXhs23sBORLYiKs1zEbigPsB0DZF4paoodCMvh6SzgHZBsKcvLgy9PEHZ7E07Alj3-Rme-m-KBud6IlpMxZOUgXF1XKGzRELAmrWUFfJKlhE-6--eYcv0uYMpgJRWcvuWXDVTVdGSEzMJjQ8eSom~mu8gSAwtJ94-Mcdv32~OeJymfhz2BEooRjCLbDf39W8wF28HhAzLy55lE-eHv4yoPZkkPmUFOD6ATqaLTw0Zd7ArIm-IuP3r01tYxTAhlj2VFdP54FrRVf93nCt304wQNkJaYCOFcW-Zr9haWDQtHkbo~zpr4vIDEVgXFHSXvmzozASNSvOFrHCQ__	1	1	tmt_127c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	Glioblastoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000203-Sample-4	human + mouse	not available	not available	not available	not available	not available	Glioblastoma	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/49/01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw?Expires=1685955486&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=FRYPrRQEduXhs23sBORLYiKs1zEbigPsB0DZF4paoodCMvh6SzgHZBsKcvLgy9PEHZ7E07Alj3-Rme-m-KBud6IlpMxZOUgXF1XKGzRELAmrWUFfJKlhE-6--eYcv0uYMpgJRWcvuWXDVTVdGSEzMJjQ8eSom~mu8gSAwtJ94-Mcdv32~OeJymfhz2BEooRjCLbDf39W8wF28HhAzLy55lE-eHv4yoPZkkPmUFOD6ATqaLTw0Zd7ArIm-IuP3r01tYxTAhlj2VFdP54FrRVf93nCt304wQNkJaYCOFcW-Zr9haWDQtHkbo~zpr4vIDEVgXFHSXvmzozASNSvOFrHCQ__	1	1	tmt_128n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	Glioblastoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000203-Sample-5	human + mouse	not available	not available	not available	not available	not available	Glioblastoma	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/49/01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw?Expires=1685955486&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=FRYPrRQEduXhs23sBORLYiKs1zEbigPsB0DZF4paoodCMvh6SzgHZBsKcvLgy9PEHZ7E07Alj3-Rme-m-KBud6IlpMxZOUgXF1XKGzRELAmrWUFfJKlhE-6--eYcv0uYMpgJRWcvuWXDVTVdGSEzMJjQ8eSom~mu8gSAwtJ94-Mcdv32~OeJymfhz2BEooRjCLbDf39W8wF28HhAzLy55lE-eHv4yoPZkkPmUFOD6ATqaLTw0Zd7ArIm-IuP3r01tYxTAhlj2VFdP54FrRVf93nCt304wQNkJaYCOFcW-Zr9haWDQtHkbo~zpr4vIDEVgXFHSXvmzozASNSvOFrHCQ__	1	1	tmt_128c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	Glioblastoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000203-Sample-6	human + mouse	not available	not available	not available	not available	not available	Glioblastoma	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/49/01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw?Expires=1685955486&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=FRYPrRQEduXhs23sBORLYiKs1zEbigPsB0DZF4paoodCMvh6SzgHZBsKcvLgy9PEHZ7E07Alj3-Rme-m-KBud6IlpMxZOUgXF1XKGzRELAmrWUFfJKlhE-6--eYcv0uYMpgJRWcvuWXDVTVdGSEzMJjQ8eSom~mu8gSAwtJ94-Mcdv32~OeJymfhz2BEooRjCLbDf39W8wF28HhAzLy55lE-eHv4yoPZkkPmUFOD6ATqaLTw0Zd7ArIm-IuP3r01tYxTAhlj2VFdP54FrRVf93nCt304wQNkJaYCOFcW-Zr9haWDQtHkbo~zpr4vIDEVgXFHSXvmzozASNSvOFrHCQ__	1	1	tmt_129n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	Glioblastoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000203-Sample-7	human + mouse	not available	not available	not available	not available	not available	Glioblastoma	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/49/01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw?Expires=1685955486&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=FRYPrRQEduXhs23sBORLYiKs1zEbigPsB0DZF4paoodCMvh6SzgHZBsKcvLgy9PEHZ7E07Alj3-Rme-m-KBud6IlpMxZOUgXF1XKGzRELAmrWUFfJKlhE-6--eYcv0uYMpgJRWcvuWXDVTVdGSEzMJjQ8eSom~mu8gSAwtJ94-Mcdv32~OeJymfhz2BEooRjCLbDf39W8wF28HhAzLy55lE-eHv4yoPZkkPmUFOD6ATqaLTw0Zd7ArIm-IuP3r01tYxTAhlj2VFdP54FrRVf93nCt304wQNkJaYCOFcW-Zr9haWDQtHkbo~zpr4vIDEVgXFHSXvmzozASNSvOFrHCQ__	1	1	tmt_129c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	Glioblastoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000203-Sample-8	human + mouse	not available	not available	not available	not available	not available	Glioblastoma	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/49/01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw?Expires=1685955486&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=FRYPrRQEduXhs23sBORLYiKs1zEbigPsB0DZF4paoodCMvh6SzgHZBsKcvLgy9PEHZ7E07Alj3-Rme-m-KBud6IlpMxZOUgXF1XKGzRELAmrWUFfJKlhE-6--eYcv0uYMpgJRWcvuWXDVTVdGSEzMJjQ8eSom~mu8gSAwtJ94-Mcdv32~OeJymfhz2BEooRjCLbDf39W8wF28HhAzLy55lE-eHv4yoPZkkPmUFOD6ATqaLTw0Zd7ArIm-IuP3r01tYxTAhlj2VFdP54FrRVf93nCt304wQNkJaYCOFcW-Zr9haWDQtHkbo~zpr4vIDEVgXFHSXvmzozASNSvOFrHCQ__	1	1	tmt_130n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	Glioblastoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000203-Sample-9	human + mouse	not available	not available	not available	not available	not available	Glioblastoma	1	WHIM-P94	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/49/01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw?Expires=1685955486&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=FRYPrRQEduXhs23sBORLYiKs1zEbigPsB0DZF4paoodCMvh6SzgHZBsKcvLgy9PEHZ7E07Alj3-Rme-m-KBud6IlpMxZOUgXF1XKGzRELAmrWUFfJKlhE-6--eYcv0uYMpgJRWcvuWXDVTVdGSEzMJjQ8eSom~mu8gSAwtJ94-Mcdv32~OeJymfhz2BEooRjCLbDf39W8wF28HhAzLy55lE-eHv4yoPZkkPmUFOD6ATqaLTw0Zd7ArIm-IuP3r01tYxTAhlj2VFdP54FrRVf93nCt304wQNkJaYCOFcW-Zr9haWDQtHkbo~zpr4vIDEVgXFHSXvmzozASNSvOFrHCQ__	1	1	tmt_130c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	Glioblastoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000203-Sample-10	human + mouse	not available	not available	not available	not available	not available	Glioblastoma	1	WHIM-P93	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/49/01CPTAC_CompRef_GBM_W_PNNL_20190123_B1S5_f01.raw?Expires=1685955486&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=FRYPrRQEduXhs23sBORLYiKs1zEbigPsB0DZF4paoodCMvh6SzgHZBsKcvLgy9PEHZ7E07Alj3-Rme-m-KBud6IlpMxZOUgXF1XKGzRELAmrWUFfJKlhE-6--eYcv0uYMpgJRWcvuWXDVTVdGSEzMJjQ8eSom~mu8gSAwtJ94-Mcdv32~OeJymfhz2BEooRjCLbDf39W8wF28HhAzLy55lE-eHv4yoPZkkPmUFOD6ATqaLTw0Zd7ArIm-IuP3r01tYxTAhlj2VFdP54FrRVf93nCt304wQNkJaYCOFcW-Zr9haWDQtHkbo~zpr4vIDEVgXFHSXvmzozASNSvOFrHCQ__	1	1	tmt_131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	Glioblastoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
