Plex Dataset Name,Run Metadata ID,Number of Fractions,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131
"KU_PDAC_Proteome_Set01_20180122","KU PDAC Discovery Study - Global proteome-3","24","PDAC102
Primary Tumor","PDAC025
Primary Tumor","PDAC189
Primary Tumor","PDAC186
Primary Tumor","PDAC158
Primary Tumor","PDAC041
Primary Tumor","PDAC048
Primary Tumor","PDAC113
Primary Tumor","PDAC076
Primary Tumor","Universal reference
Not Reported"
"KU_PDAC_Proteome_Set02_20180131","KU PDAC Discovery Study - Global proteome-16","24","PDAC023
Primary Tumor","PDAC132
Primary Tumor","PDAC117
Primary Tumor","PDAC173
Primary Tumor","PDAC024
Primary Tumor","PDAC078
Primary Tumor","PDAC151
Primary Tumor","PDAC016
Primary Tumor","PDAC087
Primary Tumor","Universal reference
Not Reported"
"KU_PDAC_Proteome_Set03_20180203","KU PDAC Discovery Study - Global proteome-14","24","PDAC136
Primary Tumor","PDAC045
Primary Tumor","PDAC085
Primary Tumor","PDAC022
Primary Tumor","PDAC107
Primary Tumor","PDAC126
Primary Tumor","PDAC180
Primary Tumor","PDAC124
Primary Tumor","PDAC006
Primary Tumor","Universal reference
Not Reported"
"KU_PDAC_Proteome_Set04_20180102","KU PDAC Discovery Study - Global proteome-1","24","PDAC054
Primary Tumor
Disqualified","PDAC030
Primary Tumor","PDAC011
Primary Tumor","PDAC047
Primary Tumor","PDAC097
Primary Tumor","PDAC075
Primary Tumor","PDAC130
Primary Tumor","PDAC178
Primary Tumor","PDAC199
Primary Tumor","Universal reference
Not Reported"
"KU_PDAC_Proteome_Set05_20180105","KU PDAC Discovery Study - Global proteome-5","24","PDAC050
Primary Tumor","PDAC044
Primary Tumor","PDAC012
Primary Tumor","PDAC098
Primary Tumor","PDAC192
Primary Tumor","PDAC063
Primary Tumor","PDAC167
Primary Tumor","PDAC007
Primary Tumor","PDAC067
Primary Tumor","Universal reference
Not Reported"
"KU_PDAC_Proteome_Set06_20180110","KU PDAC Discovery Study - Global proteome-9","24","PDAC005
Primary Tumor","PDAC064
Primary Tumor","PDAC159
Primary Tumor","PDAC058
Primary Tumor","PDAC056
Primary Tumor","PDAC080
Primary Tumor","PDAC073
Primary Tumor","PDAC195
Primary Tumor","PDAC137
Primary Tumor","Universal reference
Not Reported"
"KU_PDAC_Proteome_Set07_20180321","KU PDAC Discovery Study - Global proteome-2","24","PDAC029
Primary Tumor","PDAC082
Primary Tumor","PDAC083
Primary Tumor","PDAC211
Primary Tumor","PDAC043
Primary Tumor","PDAC040
Primary Tumor
Disqualified","PDAC061
Primary Tumor","PDAC209
Primary Tumor","PDAC174
Primary Tumor","Universal reference
Not Reported"
"KU_PDAC_Proteome_Set08_20180325","KU PDAC Discovery Study - Global proteome-8","24","PDAC074
Primary Tumor","PDAC096
Primary Tumor","PDAC019
Primary Tumor","PDAC101
Primary Tumor","PDAC213
Primary Tumor","PDAC010
Primary Tumor","PDAC112
Primary Tumor","PDAC106
Primary Tumor","PDAC013
Primary Tumor","Universal reference
Not Reported"
"KU_PDAC_Proteome_Set09_20180328","KU PDAC Discovery Study - Global proteome-15","24","PDAC129
Primary Tumor","PDAC205
Primary Tumor","PDAC135
Primary Tumor","PDAC196
Primary Tumor","PDAC051
Primary Tumor","PDAC144
Primary Tumor","PDAC031
Primary Tumor","PDAC018
Primary Tumor","PDAC139
Primary Tumor","Universal reference
Not Reported"
"KU_PDAC_Proteome_Set10_20180307","KU PDAC Discovery Study - Global proteome-17","24","PDAC055
Primary Tumor","PDAC021
Primary Tumor","PDAC038
Primary Tumor
Disqualified","PDAC170
Primary Tumor","PDAC183
Primary Tumor","PDAC160
Primary Tumor","PDAC020
Primary Tumor","PDAC156
Primary Tumor","PDAC193
Primary Tumor","Universal reference
Not Reported"
