source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
PDC000293-Sample-1	human + mouse	not available	not available	not available	not available	not available	Ovarian Cancer tumor	1	WHIM 2	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	TCGA_CompRef_W_PNNL_B1S7_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/116/TCGA_CompRef_W_PNNL_B1S7_f01.raw?Expires=1685691646&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=gCEOqJt2o2AXH0vDxgwyR81eDYh~WQi76xMMmJ7cdQdSYupCSzqFFzm~lUvtlQ-5SgGcKdgLQ3yi68dJUgCbNzNKfauL17VAXc5b0w~qKWYO2KD2prVRPKROjmBWRgCz-9uZ~JTE-v~oy608VfbSBAreqfFMhujZpfq3b~fUBYDCZSKm9N-0Xj9hpN-M1hJQdEuAlG5WPSRqiyKQzAJQ-fXJ3DsLmBMfefNRGHlN-gPir5BkOGxZgrrzF5gZ4ZeGHN2FlbiIN~ARVg5cSVIIDEBBnwzXlTiIplppmqNggD1JEx65Mb~P0jK0hMQ3RhoUyQaEQAGExqdPzrq-MpJs5A__	1	1	itraq_114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	45% NCE	20 ppm	20 ppm	WHIM 2	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;PP=N-term;AC=UNIMOD:214	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7
PDC000293-Sample-2	human + mouse	not available	not available	not available	not available	not available	Ovarian Cancer tumor	1	WHIM 2	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	TCGA_CompRef_W_PNNL_B1S7_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/116/TCGA_CompRef_W_PNNL_B1S7_f01.raw?Expires=1685691646&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=gCEOqJt2o2AXH0vDxgwyR81eDYh~WQi76xMMmJ7cdQdSYupCSzqFFzm~lUvtlQ-5SgGcKdgLQ3yi68dJUgCbNzNKfauL17VAXc5b0w~qKWYO2KD2prVRPKROjmBWRgCz-9uZ~JTE-v~oy608VfbSBAreqfFMhujZpfq3b~fUBYDCZSKm9N-0Xj9hpN-M1hJQdEuAlG5WPSRqiyKQzAJQ-fXJ3DsLmBMfefNRGHlN-gPir5BkOGxZgrrzF5gZ4ZeGHN2FlbiIN~ARVg5cSVIIDEBBnwzXlTiIplppmqNggD1JEx65Mb~P0jK0hMQ3RhoUyQaEQAGExqdPzrq-MpJs5A__	1	1	itraq_115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	45% NCE	20 ppm	20 ppm	WHIM 2	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;PP=N-term;AC=UNIMOD:214	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7
PDC000293-Sample-3	human + mouse	not available	not available	not available	not available	not available	Ovarian Cancer tumor	1	WHIM 16	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	TCGA_CompRef_W_PNNL_B1S7_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/116/TCGA_CompRef_W_PNNL_B1S7_f01.raw?Expires=1685691646&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=gCEOqJt2o2AXH0vDxgwyR81eDYh~WQi76xMMmJ7cdQdSYupCSzqFFzm~lUvtlQ-5SgGcKdgLQ3yi68dJUgCbNzNKfauL17VAXc5b0w~qKWYO2KD2prVRPKROjmBWRgCz-9uZ~JTE-v~oy608VfbSBAreqfFMhujZpfq3b~fUBYDCZSKm9N-0Xj9hpN-M1hJQdEuAlG5WPSRqiyKQzAJQ-fXJ3DsLmBMfefNRGHlN-gPir5BkOGxZgrrzF5gZ4ZeGHN2FlbiIN~ARVg5cSVIIDEBBnwzXlTiIplppmqNggD1JEx65Mb~P0jK0hMQ3RhoUyQaEQAGExqdPzrq-MpJs5A__	1	1	itraq_116	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	45% NCE	20 ppm	20 ppm	WHIM 16	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;PP=N-term;AC=UNIMOD:214	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7
PDC000293-Sample-4	human + mouse	not available	not available	not available	not available	not available	Ovarian Cancer tumor	1	WHIM 16	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	TCGA_CompRef_W_PNNL_B1S7_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/116/TCGA_CompRef_W_PNNL_B1S7_f01.raw?Expires=1685691646&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=gCEOqJt2o2AXH0vDxgwyR81eDYh~WQi76xMMmJ7cdQdSYupCSzqFFzm~lUvtlQ-5SgGcKdgLQ3yi68dJUgCbNzNKfauL17VAXc5b0w~qKWYO2KD2prVRPKROjmBWRgCz-9uZ~JTE-v~oy608VfbSBAreqfFMhujZpfq3b~fUBYDCZSKm9N-0Xj9hpN-M1hJQdEuAlG5WPSRqiyKQzAJQ-fXJ3DsLmBMfefNRGHlN-gPir5BkOGxZgrrzF5gZ4ZeGHN2FlbiIN~ARVg5cSVIIDEBBnwzXlTiIplppmqNggD1JEx65Mb~P0jK0hMQ3RhoUyQaEQAGExqdPzrq-MpJs5A__	1	1	itraq_117	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	45% NCE	20 ppm	20 ppm	WHIM 16	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;PP=N-term;AC=UNIMOD:214	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7
PDC000293-Sample-1	human + mouse	not available	not available	not available	not available	not available	Ovarian Cancer tumor	1	WHIM 2	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	TCGA_CompRef_W_PNNL_B1S7_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/116/TCGA_CompRef_W_PNNL_B1S7_f02.raw?Expires=1685691646&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=F20Vlfunhr6DWJSb26YawKmvMMmsqrMqieNwMvMsn9GDCp4vg43ZPjlMgqgek8u-A5wh2xUzzlQvKJmCsPEcn4jiP3AuGTx7a12TN-dN-9llYEr0wKt2mw5nwb7mAXZh~Z453G~C4M0gSbV11o4v-DJB9VtD~YxKhFss2X553YqXwjPJeis-N0s6XBJNcwK5sSU6~oouF5adWGxD8ep4t84fEEXALgIekcYnzsQ~qNCKJCz5P4q9pm9lhkXRiSBbMdMNTma9oWiR~nCH2eRBJnvXfTyYGEyznURfMDfxc6OXQ8dlhHYk0RcrkGN55OOxTzC3uKHr8qegoWHp-K5uxQ__	1	2	itraq_114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	45% NCE	20 ppm	20 ppm	WHIM 2	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;PP=N-term;AC=UNIMOD:214	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7
PDC000293-Sample-2	human + mouse	not available	not available	not available	not available	not available	Ovarian Cancer tumor	1	WHIM 2	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	TCGA_CompRef_W_PNNL_B1S7_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/116/TCGA_CompRef_W_PNNL_B1S7_f02.raw?Expires=1685691646&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=F20Vlfunhr6DWJSb26YawKmvMMmsqrMqieNwMvMsn9GDCp4vg43ZPjlMgqgek8u-A5wh2xUzzlQvKJmCsPEcn4jiP3AuGTx7a12TN-dN-9llYEr0wKt2mw5nwb7mAXZh~Z453G~C4M0gSbV11o4v-DJB9VtD~YxKhFss2X553YqXwjPJeis-N0s6XBJNcwK5sSU6~oouF5adWGxD8ep4t84fEEXALgIekcYnzsQ~qNCKJCz5P4q9pm9lhkXRiSBbMdMNTma9oWiR~nCH2eRBJnvXfTyYGEyznURfMDfxc6OXQ8dlhHYk0RcrkGN55OOxTzC3uKHr8qegoWHp-K5uxQ__	1	2	itraq_115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	45% NCE	20 ppm	20 ppm	WHIM 2	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;PP=N-term;AC=UNIMOD:214	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7
PDC000293-Sample-3	human + mouse	not available	not available	not available	not available	not available	Ovarian Cancer tumor	1	WHIM 16	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	TCGA_CompRef_W_PNNL_B1S7_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/116/TCGA_CompRef_W_PNNL_B1S7_f02.raw?Expires=1685691646&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=F20Vlfunhr6DWJSb26YawKmvMMmsqrMqieNwMvMsn9GDCp4vg43ZPjlMgqgek8u-A5wh2xUzzlQvKJmCsPEcn4jiP3AuGTx7a12TN-dN-9llYEr0wKt2mw5nwb7mAXZh~Z453G~C4M0gSbV11o4v-DJB9VtD~YxKhFss2X553YqXwjPJeis-N0s6XBJNcwK5sSU6~oouF5adWGxD8ep4t84fEEXALgIekcYnzsQ~qNCKJCz5P4q9pm9lhkXRiSBbMdMNTma9oWiR~nCH2eRBJnvXfTyYGEyznURfMDfxc6OXQ8dlhHYk0RcrkGN55OOxTzC3uKHr8qegoWHp-K5uxQ__	1	2	itraq_116	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	45% NCE	20 ppm	20 ppm	WHIM 16	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;PP=N-term;AC=UNIMOD:214	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7
PDC000293-Sample-4	human + mouse	not available	not available	not available	not available	not available	Ovarian Cancer tumor	1	WHIM 16	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	TCGA_CompRef_W_PNNL_B1S7_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/116/TCGA_CompRef_W_PNNL_B1S7_f02.raw?Expires=1685691646&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=F20Vlfunhr6DWJSb26YawKmvMMmsqrMqieNwMvMsn9GDCp4vg43ZPjlMgqgek8u-A5wh2xUzzlQvKJmCsPEcn4jiP3AuGTx7a12TN-dN-9llYEr0wKt2mw5nwb7mAXZh~Z453G~C4M0gSbV11o4v-DJB9VtD~YxKhFss2X553YqXwjPJeis-N0s6XBJNcwK5sSU6~oouF5adWGxD8ep4t84fEEXALgIekcYnzsQ~qNCKJCz5P4q9pm9lhkXRiSBbMdMNTma9oWiR~nCH2eRBJnvXfTyYGEyznURfMDfxc6OXQ8dlhHYk0RcrkGN55OOxTzC3uKHr8qegoWHp-K5uxQ__	1	2	itraq_117	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	45% NCE	20 ppm	20 ppm	WHIM 16	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;PP=N-term;AC=UNIMOD:214	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7
PDC000293-Sample-1	human + mouse	not available	not available	not available	not available	not available	Ovarian Cancer tumor	1	WHIM 2	not available	Xenograft Tissue	run3	proteomic profiling by mass spectrometry	TCGA_CompRef_W_PNNL_B1S7_f03.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/116/TCGA_CompRef_W_PNNL_B1S7_f03.raw?Expires=1685691646&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Ijv6o4q7RyH6M4SA7Gco6PVKr5p5ua4xmArZyFpNSgh-VYPqF-MMOyu4Pn7Vxybt~WXOuIn-Nfor7~PU0mwvEMsqFnSeTgyDVp1dYm0dVCBuWdZeTB0dYfuZpW2x7l49JscquocLvAMm6fqztx5VdS-68wX1PAmmtQAmDXBhKYvpKNWqNbRnuSTwvzKVa2x2pWcxgpjHiMpvxJX1TIP4sZYcVSKhXGP7mL5e0V2pBNtjqOoIOldlbqFv59UxB6k07~GmmEbr733euQiAMvAOQsw6Sxlh8AhnY6mdcot0hxPdlfBQSUd5TVUAZc4ph8VNEkf-9d-T2GPwynzWQ46j4A__	1	3	itraq_114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	45% NCE	20 ppm	20 ppm	WHIM 2	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;PP=N-term;AC=UNIMOD:214	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7
PDC000293-Sample-2	human + mouse	not available	not available	not available	not available	not available	Ovarian Cancer tumor	1	WHIM 2	not available	Xenograft Tissue	run3	proteomic profiling by mass spectrometry	TCGA_CompRef_W_PNNL_B1S7_f03.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/116/TCGA_CompRef_W_PNNL_B1S7_f03.raw?Expires=1685691646&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Ijv6o4q7RyH6M4SA7Gco6PVKr5p5ua4xmArZyFpNSgh-VYPqF-MMOyu4Pn7Vxybt~WXOuIn-Nfor7~PU0mwvEMsqFnSeTgyDVp1dYm0dVCBuWdZeTB0dYfuZpW2x7l49JscquocLvAMm6fqztx5VdS-68wX1PAmmtQAmDXBhKYvpKNWqNbRnuSTwvzKVa2x2pWcxgpjHiMpvxJX1TIP4sZYcVSKhXGP7mL5e0V2pBNtjqOoIOldlbqFv59UxB6k07~GmmEbr733euQiAMvAOQsw6Sxlh8AhnY6mdcot0hxPdlfBQSUd5TVUAZc4ph8VNEkf-9d-T2GPwynzWQ46j4A__	1	3	itraq_115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	45% NCE	20 ppm	20 ppm	WHIM 2	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;PP=N-term;AC=UNIMOD:214	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7
