source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]
PDC000303-Sample-1	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	WHIM37	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/122/WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f01.raw?Expires=1685686821&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Oe8Sp-cVOOJBZD-l~~QugyW2hDzq9g1n9iJfP3ru~-fj2SsoCmSzluPZ7uxWKh-PT2XVf1J-kzbS3fiDdNzuN6Zb2HG0ukf9zyUwux9rWNfIv1CUr6Vd-xQtH3dDEkU~CC3-IR2SCQgk5P08ZlUYBr-arX4k7-FydOib41XNDo4K8BZKPLU9q8h8Pz~dxxQz9XPXaO59quVaPQICfQjlKorCutv7~X-QW32serW1qtQlFhOaHgiQ1G-sYvQWzrsSNP-eo~jpEqxV0OPMzP7V09AAw9zvKdOC5sNqkSMqTnu-qffjSFuOt-q2dxoCyYYGiqaUr3GFihZ7XqmAVYpjZA__	1	1	itraq_114	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM37	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000303-Sample-2	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	WHIM47	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/122/WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f01.raw?Expires=1685686821&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Oe8Sp-cVOOJBZD-l~~QugyW2hDzq9g1n9iJfP3ru~-fj2SsoCmSzluPZ7uxWKh-PT2XVf1J-kzbS3fiDdNzuN6Zb2HG0ukf9zyUwux9rWNfIv1CUr6Vd-xQtH3dDEkU~CC3-IR2SCQgk5P08ZlUYBr-arX4k7-FydOib41XNDo4K8BZKPLU9q8h8Pz~dxxQz9XPXaO59quVaPQICfQjlKorCutv7~X-QW32serW1qtQlFhOaHgiQ1G-sYvQWzrsSNP-eo~jpEqxV0OPMzP7V09AAw9zvKdOC5sNqkSMqTnu-qffjSFuOt-q2dxoCyYYGiqaUr3GFihZ7XqmAVYpjZA__	1	1	itraq_115	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM47	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000303-Sample-3	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	WHIM26	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/122/WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f01.raw?Expires=1685686821&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Oe8Sp-cVOOJBZD-l~~QugyW2hDzq9g1n9iJfP3ru~-fj2SsoCmSzluPZ7uxWKh-PT2XVf1J-kzbS3fiDdNzuN6Zb2HG0ukf9zyUwux9rWNfIv1CUr6Vd-xQtH3dDEkU~CC3-IR2SCQgk5P08ZlUYBr-arX4k7-FydOib41XNDo4K8BZKPLU9q8h8Pz~dxxQz9XPXaO59quVaPQICfQjlKorCutv7~X-QW32serW1qtQlFhOaHgiQ1G-sYvQWzrsSNP-eo~jpEqxV0OPMzP7V09AAw9zvKdOC5sNqkSMqTnu-qffjSFuOt-q2dxoCyYYGiqaUr3GFihZ7XqmAVYpjZA__	1	1	itraq_116	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM26	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000303-Sample-4	human + mouse	Not Reported	not available	not available	not available	not available	Not Reported	1	WHIMIR	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/122/WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f01.raw?Expires=1685686821&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Oe8Sp-cVOOJBZD-l~~QugyW2hDzq9g1n9iJfP3ru~-fj2SsoCmSzluPZ7uxWKh-PT2XVf1J-kzbS3fiDdNzuN6Zb2HG0ukf9zyUwux9rWNfIv1CUr6Vd-xQtH3dDEkU~CC3-IR2SCQgk5P08ZlUYBr-arX4k7-FydOib41XNDo4K8BZKPLU9q8h8Pz~dxxQz9XPXaO59quVaPQICfQjlKorCutv7~X-QW32serW1qtQlFhOaHgiQ1G-sYvQWzrsSNP-eo~jpEqxV0OPMzP7V09AAw9zvKdOC5sNqkSMqTnu-qffjSFuOt-q2dxoCyYYGiqaUr3GFihZ7XqmAVYpjZA__	1	1	itraq_117	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIMIR	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000303-Sample-1	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	WHIM37	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/122/WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f02.raw?Expires=1685686821&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YrV~eAFEHm7mCX8zICk8n7qATG-Vjvouf-cDcMX6t3Iq1xilArFb3N-RoNYgbBS2HhCvV8C2Zba8gCyNWuTGvEWe3tWOIXx4hins8XU51EOHOinE-SvfrCp0vPhmXtHtXhayFdsRISAAJ6ammiaCk5jvPZ9qmMQEM-MKkgJIreaeDElrqVctBEkg9FT88S3IRgWqKz0fyvpBzSF9oUzvWYRpysl4EYIplyrYzjdm5CaKeE4ItLm21lCfPvmJSyS7aI7TaFNRU8AF8RJtXfb9WrO83v6feZSdmKycEgOLYjjuMWPQ4LvCXsd0vBkYfZ6ipE~gh4~PMvVdPnxedV9Myw__	1	2	itraq_114	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM37	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000303-Sample-2	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	WHIM47	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/122/WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f02.raw?Expires=1685686821&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YrV~eAFEHm7mCX8zICk8n7qATG-Vjvouf-cDcMX6t3Iq1xilArFb3N-RoNYgbBS2HhCvV8C2Zba8gCyNWuTGvEWe3tWOIXx4hins8XU51EOHOinE-SvfrCp0vPhmXtHtXhayFdsRISAAJ6ammiaCk5jvPZ9qmMQEM-MKkgJIreaeDElrqVctBEkg9FT88S3IRgWqKz0fyvpBzSF9oUzvWYRpysl4EYIplyrYzjdm5CaKeE4ItLm21lCfPvmJSyS7aI7TaFNRU8AF8RJtXfb9WrO83v6feZSdmKycEgOLYjjuMWPQ4LvCXsd0vBkYfZ6ipE~gh4~PMvVdPnxedV9Myw__	1	2	itraq_115	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM47	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000303-Sample-3	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	WHIM26	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/122/WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f02.raw?Expires=1685686821&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YrV~eAFEHm7mCX8zICk8n7qATG-Vjvouf-cDcMX6t3Iq1xilArFb3N-RoNYgbBS2HhCvV8C2Zba8gCyNWuTGvEWe3tWOIXx4hins8XU51EOHOinE-SvfrCp0vPhmXtHtXhayFdsRISAAJ6ammiaCk5jvPZ9qmMQEM-MKkgJIreaeDElrqVctBEkg9FT88S3IRgWqKz0fyvpBzSF9oUzvWYRpysl4EYIplyrYzjdm5CaKeE4ItLm21lCfPvmJSyS7aI7TaFNRU8AF8RJtXfb9WrO83v6feZSdmKycEgOLYjjuMWPQ4LvCXsd0vBkYfZ6ipE~gh4~PMvVdPnxedV9Myw__	1	2	itraq_116	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM26	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000303-Sample-4	human + mouse	Not Reported	not available	not available	not available	not available	Not Reported	1	WHIMIR	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/122/WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f02.raw?Expires=1685686821&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YrV~eAFEHm7mCX8zICk8n7qATG-Vjvouf-cDcMX6t3Iq1xilArFb3N-RoNYgbBS2HhCvV8C2Zba8gCyNWuTGvEWe3tWOIXx4hins8XU51EOHOinE-SvfrCp0vPhmXtHtXhayFdsRISAAJ6ammiaCk5jvPZ9qmMQEM-MKkgJIreaeDElrqVctBEkg9FT88S3IRgWqKz0fyvpBzSF9oUzvWYRpysl4EYIplyrYzjdm5CaKeE4ItLm21lCfPvmJSyS7aI7TaFNRU8AF8RJtXfb9WrO83v6feZSdmKycEgOLYjjuMWPQ4LvCXsd0vBkYfZ6ipE~gh4~PMvVdPnxedV9Myw__	1	2	itraq_117	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIMIR	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000303-Sample-1	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	WHIM37	not available	Xenograft Tissue	run3	proteomic profiling by mass spectrometry	WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f03.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/122/WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f03.raw?Expires=1685686821&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=HG2fNJL8P9a7QxMAGCikWwXUYfntamc2OZPYxqeFqAPbuB4nw7IecL7V3Ol9QeDyJ8NLrNFY7HQhRTlwWY-sh9FSAPf44g37nKF1ffBGviIO4Dd8l0J7ASRguHrXMSvUsQZzpabz0KE-lDNy4b25BWMiNcWoaNgrSPoi0t-YO8zQcHGdN2D39WDdMzY1sRvjjGInWYTXLl0bnNqZR2SYJVqd7g2mLAfnB2UrlyW59AWCs9OPUFp1JFzdMp4q1w9DQryhoc9NNUuKIjZLikMJ3aWlgZlVxmGoA0eiJZEHRFYaWKCyuvUtMW71bZPUtq6~bZYj~olyvWlFccZhvhsWKA__	1	3	itraq_114	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM37	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000303-Sample-2	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	WHIM47	not available	Xenograft Tissue	run3	proteomic profiling by mass spectrometry	WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f03.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/122/WHIM09_37_47_26_IR_W_BI_20140730_H-PM_f03.raw?Expires=1685686821&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=HG2fNJL8P9a7QxMAGCikWwXUYfntamc2OZPYxqeFqAPbuB4nw7IecL7V3Ol9QeDyJ8NLrNFY7HQhRTlwWY-sh9FSAPf44g37nKF1ffBGviIO4Dd8l0J7ASRguHrXMSvUsQZzpabz0KE-lDNy4b25BWMiNcWoaNgrSPoi0t-YO8zQcHGdN2D39WDdMzY1sRvjjGInWYTXLl0bnNqZR2SYJVqd7g2mLAfnB2UrlyW59AWCs9OPUFp1JFzdMp4q1w9DQryhoc9NNUuKIjZLikMJ3aWlgZlVxmGoA0eiJZEHRFYaWKCyuvUtMW71bZPUtq6~bZYj~olyvWlFccZhvhsWKA__	1	3	itraq_115	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM47	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=iTRAQ4plex;MT=Fixed;TA=K;AC=UNIMOD:214	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
