Plex Dataset Name,Run Metadata ID,Number of Fractions,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131,tmt_131c
"AP1_QEHF1_AP1_1","APOLLO LUAD - Proteome-2","36","Pool
Not Reported","AP-JK59
Primary Tumor","AP-7KJ6
Primary Tumor","AP-KXUT
Primary Tumor","AP-E98M
Primary Tumor","AP-WEHE
Primary Tumor
Disqualified","AP-B2SL
Primary Tumor","AP-QUHC
Primary Tumor","AP-QAHT
Primary Tumor","AP-9UHJ
Primary Tumor","AP-NMZS
Primary Tumor"
"AP1_QEHF1_AP1_2","APOLLO LUAD - Proteome-9","36","Pool
Not Reported","AP-9D3B
Primary Tumor","AP-F595
Primary Tumor","AP-EFHT
Primary Tumor","AP-DT88
Primary Tumor","AP-JDN4
Primary Tumor","AP-W455
Primary Tumor","AP-JBET
Primary Tumor","AP-E7CU
Primary Tumor","AP-3FY5
Primary Tumor","AP-4M7L
Primary Tumor"
"AP1_QEHF1_AP1_4","APOLLO LUAD - Proteome-10","36","Pool
Not Reported","AP-B9CH
Primary Tumor","AP-XCJX
Primary Tumor","AP-SJVE
Primary Tumor","AP-FX68
Primary Tumor","AP-D9X4
Primary Tumor","AP-WDKZ
Primary Tumor","AP-RA2G
Primary Tumor","AP-U8MP
Primary Tumor","AP-HKYN
Primary Tumor","AP-SC6Y
Primary Tumor
Disqualified"
"AP1_QEHF1_AP1_6","APOLLO LUAD - Proteome-6","36","Pool
Not Reported","AP-D35H
Primary Tumor","AP-HMFR
Primary Tumor","AP-A5NG
Primary Tumor","AP-9LNA
Primary Tumor","AP-52RG
Primary Tumor","AP-MGNN
Primary Tumor","AP-67ZV
Primary Tumor","AP-KNF9
Primary Tumor
Disqualified","AP-KX5B
Primary Tumor","AP-6EWG
Primary Tumor"
"AP1_QEHF1_AP1_8","APOLLO LUAD - Proteome-7","36","Pool
Not Reported","AP-CT3G
Primary Tumor","AP-2XNK
Primary Tumor","AP-JKPX
Primary Tumor","AP-AAFC
Primary Tumor","AP-XVLY
Primary Tumor","AP-62LT
Primary Tumor","AP-V6UJ
Primary Tumor","AP-7GDN
Primary Tumor","AP-KGMR
Primary Tumor","AP-UNC9
Primary Tumor
Disqualified"
"AP1_QEHF2_AP1_10","APOLLO LUAD - Proteome-3","36","Pool
Not Reported","AP-LWHD
Primary Tumor","AP-DM87
Primary Tumor","AP-9PXS
Primary Tumor","AP-8MWD
Primary Tumor","AP-EPNF
Primary Tumor","AP-Q7SA
Primary Tumor
Disqualified","AP-E9CK
Primary Tumor
Disqualified","AP-YF3B
Primary Tumor","AP-4HAU
Primary Tumor","AP-27JZ
Primary Tumor"
"AP1_QEHF2_AP1_3","APOLLO LUAD - Proteome-5","36","Pool
Not Reported","AP-ZLDH
Primary Tumor","AP-RQNH
Primary Tumor","AP-WTXJ
Primary Tumor","AP-5MX6
Primary Tumor","AP-4WDE
Primary Tumor
Disqualified","AP-K24D
Primary Tumor","AP-QD4Q
Primary Tumor","AP-SS2L
Primary Tumor","AP-MJ52
Primary Tumor","AP-AGZG
Primary Tumor"
"AP1_QEHF2_AP1_5","APOLLO LUAD - Proteome-1","36","Pool
Not Reported","AP-TBFQ
Primary Tumor","AP-RBLG
Primary Tumor","AP-Y6T7
Primary Tumor
Disqualified","AP-DMUM
Primary Tumor","AP-352Q
Primary Tumor","AP-M3W6
Primary Tumor
Disqualified","AP-2E8Q
Primary Tumor","AP-EZEX
Primary Tumor","AP-8PRJ
Primary Tumor","AP-FEPR
Primary Tumor
Disqualified"
"AP1_QEHF2_AP1_7","APOLLO LUAD - Proteome-4","36","Pool
Not Reported","AP-4HYT
Primary Tumor
Disqualified","AP-XSR5
Primary Tumor","AP-4LRG
Primary Tumor","AP-N8FG
Primary Tumor","AP-5L2V
Primary Tumor","AP-HFEA
Primary Tumor","AP-AJWE
Primary Tumor","AP-UG7J
Primary Tumor","AP-5JDU
Primary Tumor","AP-3336
Primary Tumor"
"AP1_QEHF2_AP1_9","APOLLO LUAD - Proteome-8","36","Pool
Not Reported","AP-G79N
Primary Tumor","AP-YTZ8
Primary Tumor","AP-VLXG
Primary Tumor","AP-94ED
Primary Tumor","AP-WPAM
Primary Tumor","AP-MUQL
Primary Tumor
Disqualified","AP-MAZ4
Primary Tumor","AP-DN2V
Primary Tumor","AP-NCLP
Primary Tumor
Disqualified","AP-HML4
Primary Tumor"
